id,loan_amnt,funded_amnt,installment,home_ownership,annual_inc,issue_d,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,total_acc,loan_status,term,fico,int_rate,revol_util,grade
380041,16000,16000,517.48,RENT,55000,1/1/2013,CA,5.06,0,9/1/2000,1,12,0,6840,38,Current,36,525,10.16,27.6,B
476326,15000,15000,529.51,MORTGAGE,72000,1/1/2013,FL,17.73,0,9/1/2006,1,18,1,11702,30,Current,36,543,16.29,37.4,B
600947,35000,35000,956.55,MORTGAGE,114000,11/1/2012,NV,16.24,1,3/1/1988,1,19,0,38651,33,Current,60,574,21.49,48.4,C
609736,24000,24000,587.34,MORTGAGE,92000,12/1/2012,MI,18.17,1,8/1/1991,2,19,0,10760,37,Current,60,559,16.29,55.2,B
618929,21000,21000,657.1,MORTGAGE,80000,11/1/2012,MO,19.9,0,10/1/2000,0,12,0,17564,23,Current,36,550,7.9,32.7,A
633767,8000,8000,269.98,MORTGAGE,84000,10/1/2012,TX,27.56,0,8/1/1993,1,14,0,44939,32,Charged Off,36,553,13.11,77.3,B
640612,20000,20000,608.72,MORTGAGE,144000,12/1/2012,TX,5.37,0,3/1/1999,0,10,0,34551,22,Current,36,589,6.03,38,A
675613,18700,18700,585.13,RENT,60000,10/1/2012,PA,28.26,0,3/1/1988,0,13,0,25484,27,Current,36,531,7.9,79.9,A
717115,28000,28000,872.52,MORTGAGE,225000,12/1/2012,MA,8.99,0,6/1/1991,3,13,0,6531,42,Current,36,619,7.62,12.4,A
720940,18000,18000,421.92,RENT,51000,10/1/2012,MD,2.35,0,8/1/2000,3,7,0,917,32,Current,60,520,14.33,8.4,B
725639,12000,12000,368.45,MORTGAGE,150000,11/1/2012,CA,2.69,0,12/1/1994,1,10,0,0,27,Current,36,592,6.62,0,A
729859,8400,8400,292.47,OWN,32400,12/1/2012,RI,18.24,0,11/1/2006,0,11,0,9488,17,Current,36,490,15.31,64.1,B
731530,8000,8000,250.33,MORTGAGE,42300,12/1/2012,AZ,13.16,0,11/1/1995,0,8,0,1750,19,Current,36,507,7.9,48.6,A
757086,9600,9600,349.43,RENT,75000,2/1/2013,NY,16.24,0,1/1/1998,3,43,0,22481,54,Charged Off,36,546,18.49,41.9,C
779809,35000,35000,1181.15,MORTGAGE,95000,11/1/2012,IL,21.01,0,7/1/2001,0,10,0,17020,17,Current,36,562,13.11,52.5,B
786921,30000,30000,734.18,MORTGAGE,91000,2/1/2013,NJ,34.29,0,5/1/1982,1,23,0,53756,46,Current,60,559,16.29,71.8,B
796232,21000,21000,657.1,MORTGAGE,111000,11/1/2012,FL,18.04,0,7/1/1999,0,20,0,59134,30,Current,36,572,7.9,34.7,A
807276,9000,9000,303.73,MORTGAGE,115000,1/1/2013,CO,26.08,3,11/1/1987,3,18,0,31892,53,Current,36,574,13.11,72.6,B
808017,4000,4000,122.82,MORTGAGE,52000,10/1/2012,TX,15.28,0,2/1/1990,1,15,0,27117,31,Current,36,521,6.62,30.7,A
824961,7800,7800,259.52,RENT,38000,10/1/2012,IL,10.14,0,9/1/2000,0,6,0,15005,9,Current,36,500,12.12,76.6,B
826394,6400,6400,200.26,RENT,38500,10/1/2012,CA,20.38,1,12/1/2001,1,15,0,6568,45,Current,36,501,7.9,17,A
841059,7200,7200,225.29,MORTGAGE,41000,11/1/2012,MI,29.44,0,10/1/1999,0,9,0,13785,23,Current,36,505,7.9,55.1,A
841903,13850,13850,421.54,RENT,45000,10/1/2012,CA,34.21,0,9/1/1983,0,17,0,20105,40,Current,36,512,6.03,22.5,A
844901,20000,20000,656.11,MORTGAGE,65000,1/1/2013,IL,18.37,1,2/1/1999,4,18,0,18805,59,Current,36,536,11.14,21,B
867697,16000,16000,498.59,OWN,85000,2/1/2013,VA,16.59,0,12/1/2000,0,13,0,14394,34,Current,36,554,7.62,86.7,A
878070,16200,16200,493.06,MORTGAGE,80004,10/1/2012,CA,8.46,0,11/1/2004,0,10,0,9624,14,Current,36,550,6.03,37,A
966822,4000,4000,127.02,MORTGAGE,50000,11/1/2012,MN,20.52,0,8/1/1996,2,13,0,21841,24,Current,36,519,8.9,64.4,A
973131,10400,10400,319.32,RENT,65000,10/1/2012,CA,7.27,0,10/1/2003,0,6,0,9917,20,Current,36,536,6.62,32,A
974654,6400,6400,224.38,RENT,34000,2/1/2013,VA,32.4,0,3/1/1998,0,6,0,4915,15,Current,36,493,15.8,96.4,B
977789,12800,12800,389.58,MORTGAGE,90000,1/1/2013,NM,4.41,0,8/1/1997,0,6,0,15628,24,Current,36,558,6.03,59,A
985784,28000,28000,889.09,RENT,82000,1/1/2013,IL,29.68,0,1/1/2001,0,13,0,42549,26,Current,36,552,8.9,73.6,A
994607,7200,7200,242.98,MORTGAGE,95000,10/1/2012,NY,11.17,0,10/1/1997,2,15,0,15122,32,Current,36,562,13.11,53.6,B
1015897,35000,35000,936.86,MORTGAGE,140000,10/1/2012,NY,16.03,0,1/1/1985,2,8,0,80956,31,Current,60,587,20.49,79,C
1018358,9500,9500,311.65,MORTGAGE,56400,12/1/2012,CA,6.68,0,10/1/1998,0,6,0,10528,13,Current,36,527,11.14,90.8,B
1027035,8000,8000,262.45,MORTGAGE,140000,2/1/2013,CA,25.63,0,7/1/2000,1,21,0,33885,40,Current,36,587,11.14,93.1,B
1034319,10800,10800,354.3,RENT,57000,2/1/2013,CA,18.32,0,5/1/1997,0,9,0,21924,18,Current,36,527,11.14,51.7,B
1036903,35000,35000,1201.84,MORTGAGE,110000,12/1/2012,WA,11.37,0,8/1/1992,0,11,0,47877,19,Current,36,571,14.33,61.4,B
1050676,7700,7700,234.36,MORTGAGE,62028,10/1/2012,LA,5.04,0,8/1/1998,0,9,0,9802,18,Current,36,533,6.03,32.8,A
1064595,23750,23750,668.85,MORTGAGE,74000,10/1/2012,TX,12.75,0,10/1/1996,0,5,0,2902,13,Current,60,545,22.95,42.7,C
1064861,15075,15075,469.76,MORTGAGE,112284,2/1/2013,CA,31.31,0,11/1/1987,0,19,0,107343,38,Current,36,573,7.62,65.3,A
1073359,6250,6250,202.14,MORTGAGE,70000,1/1/2013,IL,15.46,0,12/1/1997,1,8,0,28576,22,Current,36,541,10.16,75.2,B
1079277,15000,15000,506.21,OWN,108000,1/1/2013,CA,13.29,0,4/1/1993,1,15,0,24993,26,Current,36,570,13.11,91.2,B
1081444,4400,4400,139.72,MORTGAGE,104000,10/1/2012,CA,11.67,0,5/1/2000,1,7,0,20129,24,Current,36,568,8.9,59.7,A
1101297,12000,12000,388.11,MORTGAGE,80000,12/1/2012,FL,25.87,0,11/1/2003,2,12,0,20068,22,Current,36,550,10.16,60.1,B
1107190,8575,8575,281.31,OWN,26400,11/1/2012,NY,24.29,0,10/1/2006,0,21,0,25070,23,Current,36,476,11.14,31.6,B
1111933,10000,10000,328.06,RENT,68000,12/1/2012,NY,18.16,0,1/1/2006,0,16,0,16401,28,Current,36,539,11.14,65.6,B
1118206,20950,20950,697.05,MORTGAGE,48000,1/1/2013,SC,18.31,0,6/1/2000,0,12,0,28394,14,Current,36,516,12.12,63.7,B
1119021,8000,8000,266.18,RENT,24000,12/1/2012,NY,21.95,0,8/1/2005,2,7,0,8771,12,Current,36,470,12.12,74.3,B
1120117,10000,10000,332.72,MORTGAGE,55000,11/1/2012,MN,13.51,0,2/1/2001,0,9,0,7279,14,Current,36,525,12.12,53.1,B
1120420,12000,12000,420.71,RENT,45000,11/1/2012,CA,16.28,0,4/1/2006,2,8,0,15817,15,Current,36,512,15.8,89.9,B
1128072,4800,4800,112.52,MORTGAGE,70008,10/1/2012,MO,26.62,0,3/1/1999,3,11,0,12124,52,Current,60,541,14.33,51.2,B
1137450,14400,14400,457.25,RENT,45000,12/1/2012,NJ,15.55,0,2/1/2004,1,10,0,12759,22,Current,36,512,8.9,32.5,A
1139700,9750,9750,339.47,MORTGAGE,28000,2/1/2013,CA,27.78,0,2/1/1995,0,9,0,30580,17,Current,36,480,15.31,93.8,B
1148626,14000,14000,459.28,MORTGAGE,148000,1/1/2013,MA,20.33,1,6/1/1998,3,8,0,10520,48,Current,36,591,11.14,86.9,B
1163814,21000,21000,639.15,RENT,120000,12/1/2012,MA,11.22,0,9/1/1996,0,16,0,18641,35,Current,36,577,6.03,21.9,A
1166154,24000,24000,649.29,OWN,1500000,11/1/2012,CA,1.29,0,8/1/2001,0,20,0,18544,32,Current,60,746,21,77,C
1172201,7000,7000,240.37,MORTGAGE,220000,10/1/2012,CA,33.64,0,2/1/1984,3,22,0,79790,44,Current,36,618,14.33,82.3,B
1173615,17325,17325,483.14,MORTGAGE,43800,10/1/2012,TX,26.55,0,10/1/2000,0,6,0,13759,20,Current,60,510,22.47,84.4,C
1173787,7000,7000,219.04,RENT,27600,11/1/2012,NJ,5.98,0,10/1/2002,0,7,0,6293,13,Current,36,479,7.9,22.5,A
1175404,5000,5000,182,MORTGAGE,70700,2/1/2013,AZ,26.29,1,11/1/1985,2,11,0,6203,33,Current,36,542,18.49,70.5,C
1177456,18000,18000,560.91,RENT,79000,12/1/2012,VA,12.17,0,3/1/1994,0,15,0,3512,21,Current,36,549,7.62,12.6,A
1177560,26400,26400,695.34,RENT,108000,10/1/2012,CA,9.07,0,1/1/1997,0,7,0,19570,19,Current,60,570,19.72,89.8,C
1194524,1325,1325,45.5,RENT,36000,12/1/2012,CA,4.97,0,9/1/2007,0,6,0,5409,7,Current,36,497,14.33,38.4,B
1196970,22000,22000,742.44,MORTGAGE,70000,12/1/2012,CO,16.68,0,12/1/1995,0,14,1,22380,34,Current,36,541,13.11,78.5,B
1200639,14000,14000,465.81,RENT,59000,1/1/2013,CA,11.77,0,2/1/1998,0,16,0,21065,31,Current,36,530,12.12,49,B
1200839,18000,18000,547.84,MORTGAGE,108000,12/1/2012,FL,16.93,0,12/1/1996,1,28,0,6049,91,Current,36,570,6.03,5.3,A
1202624,35000,35000,847.42,MORTGAGE,120000,1/1/2013,IL,14.32,0,6/1/1999,2,9,0,40194,48,Current,60,577,15.8,54,B
1213421,35000,35000,874.93,MORTGAGE,130000,1/1/2013,CA,19.88,0,3/1/2003,0,12,0,29807,31,Current,60,582,17.27,64,B
1215817,35000,35000,1148.18,MORTGAGE,148000,1/1/2013,VA,21.04,3,10/1/1977,0,25,0,198632,49,Current,36,591,11.14,37.6,B
1218225,11500,11500,359.84,RENT,34500,11/1/2012,CT,22.35,0,12/1/2005,0,13,0,12979,22,Current,36,494,7.9,25.6,A
1221351,8000,8000,269.98,MORTGAGE,90000,12/1/2012,AZ,16.85,0,10/1/1994,3,19,0,58236,45,Current,36,558,13.11,30.2,B
1221624,18200,18200,569.49,MORTGAGE,85000,2/1/2013,SC,30.92,0,1/1/2001,1,17,0,27266,39,Current,36,554,7.9,54.5,A
1223998,8000,8000,269.98,RENT,34800,11/1/2012,FL,25.21,0,11/1/2003,1,8,0,12230,9,Current,36,494,13.11,74.6,B
1227178,32350,32350,737.89,MORTGAGE,73000,2/1/2013,NJ,19.23,0,7/1/2000,0,13,0,4654,36,Current,60,544,13.11,15,B
1231589,5000,5000,175.3,RENT,50000,2/1/2013,DC,2.95,0,6/1/2009,1,5,0,4362,6,Current,36,519,15.8,51.3,B
1238574,35000,35000,874.93,MORTGAGE,200000,12/1/2012,OR,11.38,0,6/1/1997,1,12,0,45488,27,Current,60,611,17.27,65.9,B
1239223,10000,10000,328.06,MORTGAGE,95000,12/1/2012,MD,12.98,0,10/1/2001,1,22,0,12760,34,Current,36,562,11.14,51.5,B
1242366,29700,29700,819.95,RENT,78000,10/1/2012,CA,20.72,0,8/1/1990,0,13,0,28168,25,Charged Off,60,548,21.98,85.1,C
1254962,5000,5000,182.65,MORTGAGE,72000,12/1/2012,CA,19.03,0,5/1/2007,3,13,0,11305,23,Current,36,543,18.75,61.4,C
1257503,15000,15000,499.08,MORTGAGE,76000,2/1/2013,PA,21.03,0,2/1/1993,0,13,0,13783,27,Current,36,547,12.12,76.6,B
1259483,6000,6000,186.97,MORTGAGE,78708,10/1/2012,CT,10.95,1,12/1/1997,1,12,0,6669,25,Current,36,549,7.62,8.4,A
1260696,14400,14400,465.73,MORTGAGE,90000,12/1/2012,KS,6.83,0,9/1/2003,1,8,0,22678,19,Current,36,558,10.16,60.8,B
1277679,8000,8000,269.98,MORTGAGE,100000,10/1/2012,CA,4.38,1,1/1/1998,0,9,0,7433,19,Current,36,565,13.11,59,B
1278110,8375,8375,291.6,RENT,39000,12/1/2012,NH,18.34,0,5/1/2006,2,9,0,6016,21,Current,36,502,15.31,31.3,B
1279308,15000,15000,492.08,MORTGAGE,80000,1/1/2013,AL,29.92,0,10/1/1998,1,13,0,1929,38,Current,36,550,11.14,9.6,B
1279499,3000,3000,117.12,RENT,13812,12/1/2012,WA,25.26,0,9/1/2001,1,8,0,7105,12,Charged Off,36,433,23.63,79.8,C
1279809,12000,12000,412.06,RENT,82000,11/1/2012,NV,11.75,0,7/1/1995,1,13,0,7711,23,Current,36,552,14.33,58,B
1279871,33425,33425,1179.92,MORTGAGE,75000,1/1/2013,WA,16.69,0,4/1/1979,2,10,0,30757,25,Current,36,546,16.29,70.5,B
1283793,6900,6900,215.91,RENT,36000,10/1/2012,NY,20,0,1/1/1997,1,8,0,8666,9,Current,36,497,7.9,71.6,A
1283818,24375,24375,555.98,MORTGAGE,55000,1/1/2013,NV,31.99,1,11/1/1993,1,15,1,36007,28,Current,60,525,13.11,47.3,B
1285725,18800,18800,596.97,MORTGAGE,74000,12/1/2012,NY,10.48,0,7/1/1991,1,7,0,112458,16,Current,36,545,8.9,50.9,A
1287619,14400,14400,479.12,RENT,100000,10/1/2012,FL,5.02,0,1/1/1992,0,13,0,17069,19,Current,36,565,12.12,61.2,B
1293933,10000,10000,332.72,MORTGAGE,73000,11/1/2012,TX,25.58,0,11/1/1986,0,18,0,34147,28,Current,36,544,12.12,83.1,B
1294591,17500,17500,626.28,OWN,45000,10/1/2012,MN,9.44,0,12/1/2000,2,4,0,24973,12,Current,36,512,17.27,74.7,B
1300838,30000,30000,844.86,MORTGAGE,234000,12/1/2012,TX,3.44,1,7/1/1995,3,7,0,11416,22,Current,60,622,22.95,31.6,C
1301682,8525,8525,292.74,OWN,45000,11/1/2012,OH,23.17,1,10/1/2000,0,10,0,12827,15,Current,36,512,14.33,56.8,B
1303330,5000,5000,166.36,MORTGAGE,57150,11/1/2012,VT,33.16,0,5/1/1985,1,8,0,27888,23,Current,36,528,12.12,69.2,B
1305074,10875,10875,345.32,RENT,49000,2/1/2013,PA,5.12,0,4/1/1987,0,9,0,9857,18,Current,36,517,8.9,44.8,A
1308128,11400,11400,361.99,RENT,70000,11/1/2012,CT,19.08,0,4/1/2003,0,10,0,4084,29,Current,36,541,8.9,24.9,A
1312198,8000,8000,266.18,RENT,32000,10/1/2012,CA,19.61,0,3/1/2007,0,9,0,9699,10,Current,36,489,12.12,53,B
1316596,9500,9500,316.09,RENT,40000,10/1/2012,TX,24.21,0,3/1/1995,0,6,0,4669,13,Current,36,504,12.12,43.6,B
1318288,8000,8000,269.98,RENT,65000,11/1/2012,RI,18.83,0,7/1/1995,0,9,0,12378,27,Charged Off,36,536,13.11,76.9,B
1318851,7000,7000,213.05,MORTGAGE,95000,2/1/2013,OH,19.93,0,8/1/1996,1,8,0,39106,24,Current,36,562,6.03,44,A
1322048,24000,24000,835.62,RENT,86000,2/1/2013,NY,28.78,0,7/1/2002,1,16,0,25859,40,Current,36,555,15.31,65.6,B
